Date,Price,Signal,Position,Capital,Return
2024-03-29,125.790001,0,0.0,54858.201135063304,-0.45141798864936694
2024-04-02,127.260002,0,0.0,54858.201135063304,-0.45141798864936694
2024-04-03,126.300003,-1,0.0,54803.34293392824,-0.4519665706607176
2024-04-04,126.449997,0,0.0,54803.34293392824,-0.4519665706607176
2024-04-05,125.800003,0,0.0,54803.34293392824,-0.4519665706607176
2024-04-06,126.389999,0,0.0,54803.34293392824,-0.4519665706607176
2024-04-09,126.82,1,0.3,54748.53959099431,-0.4525146040900569
2024-04-10,127.120003,1,0.3,54787.39322478137,-0.4521260677521863
2024-04-11,128.110001,1,0.3,54915.396863322225,-0.45084603136677776
2024-04-12,126.620003,1,0.3,54723.786924542605,-0.45276213075457394
2024-04-13,127.449997,1,0.3,54831.401236014346,-0.4516859876398565
2024-04-16,127.629997,1,0.3,54854.633058191204,-0.45145366941808796
2024-04-17,127.75,1,0.3,54870.10603637567,-0.4512989396362433
2024-04-18,127.849998,1,0.3,54882.9911264659,-0.451170088735341
2024-04-19,127.599998,1,0.3,54850.79539397567,-0.4514920460602433
2024-04-20,126.629997,0,0.3,54725.70449926511,-0.45274295500734885
2024-04-23,125.620003,-1,0.0,54485.622801749014,-0.4551437719825099
2024-04-24,126.230003,-1,0.0,54431.13717894726,-0.4556886282105274
2024-04-25,125.410004,-1,0.0,54376.70604176832,-0.4562329395823168
2024-04-26,124.970001,-1,0.0,54322.32933572655,-0.4567767066427345
2024-04-27,125.5,-1,0.0,54268.00700639082,-0.4573199299360918
2024-04-30,124.589996,-1,0.0,54213.738999384426,-0.45786261000615575
2024-05-01,123.709999,-1,0.0,54159.52526038504,-0.4584047473961496
2024-05-02,123.650002,-1,0.0,54105.36573512465,-0.4589463426487535
2024-05-03,124.279999,-1,0.0,54051.26036938953,-0.4594873963061047
2024-05-04,124.540001,0,0.0,54051.26036938953,-0.4594873963061047
2024-05-07,124.57,0,0.0,54051.26036938953,-0.4594873963061047
2024-05-08,124.589996,1,0.3,53997.20910902014,-0.46002790890979856
2024-05-09,124.330002,1,0.3,53963.404748712375,-0.46036595251287626
2024-05-10,125.18,1,0.3,54074.08306940346,-0.4592591693059654
2024-05-11,125.0,1,0.3,54050.75665555342,-0.4594924334444658
2024-05-14,124.489998,0,0.3,53984.59826996339,-0.4601540173003661
2024-05-15,122.480003,0,0.3,53723.110340789426,-0.46276889659210574
2024-05-16,122.290001,0,0.3,53698.108304144385,-0.4630189169585561
2024-05-17,122.360001,0,0.3,53707.32950183157,-0.4629267049816843
2024-05-18,122.410004,-1,0.0,53606.539715257546,-0.46393460284742455
2024-05-21,122.480003,-1,0.0,53552.93317554229,-0.4644706682445771
2024-05-22,122.410004,0,0.0,53552.93317554229,-0.4644706682445771
2024-05-23,122.540001,0,0.0,53552.93317554229,-0.4644706682445771
2024-05-24,123.589996,0,0.0,53552.93317554229,-0.4644706682445771
2024-05-25,123.209999,-1,0.0,53499.38024236675,-0.4650061975763325
2024-05-29,123.190002,-1,0.0,53445.88086212439,-0.4655411913787561
2024-05-30,123.370003,0,0.0,53445.88086212439,-0.4655411913787561
2024-05-31,123.099998,0,0.0,53445.88086212439,-0.4655411913787561
2024-06-01,122.489998,-1,0.0,53392.43498126226,-0.4660756501873774
2024-06-04,122.370003,0,0.0,53392.43498126226,-0.4660756501873774
2024-06-05,122.849998,0,0.0,53392.43498126226,-0.4660756501873774
2024-06-06,122.919998,0,0.0,53392.43498126226,-0.4660756501873774
2024-06-07,122.860001,0,0.0,53392.43498126226,-0.4660756501873774
2024-06-08,123.010002,1,0.3,53339.042546281,-0.46660957453719
2024-06-11,123.230003,1,0.3,53367.66129884201,-0.4663233870115799
2024-06-12,122.82,1,0.3,53314.392856004655,-0.46685607143995345
2024-06-13,123.190002,1,0.3,53362.576617571605,-0.46637423382428395
2024-06-14,123.379997,0,0.3,53387.26682598102,-0.4661273317401898
2024-06-15,121.339996,-1,0.0,53016.25883624253,-0.4698374116375747
2024-06-18,121.110001,-1,0.0,52963.24257740629,-0.4703675742259371
2024-06-19,120.800003,-1,0.0,52910.27933482888,-0.47089720665171114
2024-06-20,120.260002,-1,0.0,52857.369055494055,-0.4714263094450595
2024-06-21,120.050003,-1,0.0,52804.51168643856,-0.47195488313561434
2024-06-22,120.339996,0,0.0,52804.51168643856,-0.47195488313561434
2024-06-25,119.889999,-1,0.0,52751.707174752126,-0.47248292825247873
2024-06-26,119.260002,0,0.0,52751.707174752126,-0.47248292825247873
2024-06-27,118.580002,0,0.0,52751.707174752126,-0.47248292825247873
2024-06-28,118.220001,0,0.0,52751.707174752126,-0.47248292825247873
2024-06-29,118.650002,0,0.0,52751.707174752126,-0.47248292825247873
2024-07-02,117.459999,0,0.0,52751.707174752126,-0.47248292825247873
2024-07-03,118.650002,1,0.3,52698.955467577376,-0.47301044532422626
2024-07-05,119.050003,1,0.3,52752.2541642415,-0.472477458357585
2024-07-06,118.860001,1,0.3,52726.996624863576,-0.47273003375136424
